NUM_INST,ALEA,TIME_ALEA,PCM,TIME_PCM,ACPM,TIME_ACPM,OPT
2,18446744073709551742,1.0078959465026855,83.0,300.00045704841614,62,7.466698884963989,83
3,162,1.4520649909973145,138.0,300.0120379924774,111,10.52963900566101,138
4,9223372036854775893,0.8335449695587158,59.0,300.0088908672333,42,5.32548189163208,59
5,102,1.1647350788116455,61.0,300.0012090206146,44,9.768156051635742,61
6,119,1.8406920433044434,124.0,300.00802206993103,84,14.745133876800537,122
7,46116860184273879188,1.4413821697235107,111.0,300.0262670516968,90,19.176270961761475,111
8,18446744073709551809,1.9281649589538574,104.0,300.0262038707733,81,15.909897089004517,104
9,18446744073709551823,2.918164014816284,222.0,300.03746509552,179,23.74672508239746,220
10,18446744073709551791,3.481091022491455,87.0,300.00119400024414,71,35.28312802314758,86
11,129,2.104253053665161,90.0,300.0263078212738,63,22.791423082351685,88
12,180,3.518031120300293,174.0,300.0031318664551,128,31.34083390235901,174
13,64563604257983430921,4.352648019790649,176.0,300.012060880661,144,55.62603306770325,165
